column,dtype,unique_count,missing_count,pct_missing,sample_values
url,object,14340,0,0.00%,['https://jiji.com.gh/west-legon/houses-apartments-for-rent/
fetch_date,object,2,0,0.00%,"['2025-12-26', '2025-12-26', '2025-12-26']"
house_type,object,20,0,0.00%,"['Apartment', 'Apartment', 'Apartment']"
bathrooms,int64,16,0,0.00%,"[3, 3, 3]"
bedrooms,int64,17,0,0.00%,"[2, 2, 2]"
price,float64,1399,0,0.00%,"[6500.0, 4000.0, 3700.0]"
locality,object,84,0,0.00%,"['West Legon', 'Dome', 'Haatso']"
Condition,object,4,42,0.29%,"['Newly-Built', 'Newly-Built', 'Newly-Built']"
Furnishing,object,3,0,0.00%,"['Semi-Furnished', 'Semi-Furnished', 'Semi-Furnished']"
Property Size,float64,773,64,0.45%,"[242.0, 321.0, 60.0]"
24-hour Electricity,int64,2,0,0.00%,"[1, 1, 1]"
Air Conditioning,int64,2,0,0.00%,"[1, 0, 1]"
Apartment,int64,2,0,0.00%,"[0, 0, 0]"
Balcony,int64,2,0,0.00%,"[1, 1, 1]"
Chandelier,int64,2,0,0.00%,"[1, 0, 0]"
Dining Area,int64,2,0,0.00%,"[0, 1, 0]"
Dishwasher,int64,2,0,0.00%,"[1, 0, 0]"
Hot Water,int64,2,0,0.00%,"[0, 0, 0]"
Kitchen Cabinets,int64,2,0,0.00%,"[0, 1, 0]"
Kitchen Shelf,int64,2,0,0.00%,"[0, 0, 0]"
Microwave,int64,2,0,0.00%,"[0, 0, 0]"
Pop Ceiling,int64,2,0,0.00%,"[1, 1, 1]"
Pre-Paid Meter,int64,2,0,0.00%,"[0, 1, 0]"
Refrigerator,int64,2,0,0.00%,"[0, 0, 0]"
TV,int64,2,0,0.00%,"[0, 0, 0]"
Tiled Floor,int64,2,0,0.00%,"[1, 1, 1]"
Wardrobe,int64,2,0,0.00%,"[1, 1, 1]"
Wi-Fi,int64,2,0,0.00%,"[0, 0, 0]"
