neighborhood,listing_count,pct_of_total
East Legon,1816,11.974152710009232
Teshie,1171,7.721218515099565
Spintex,1099,7.246472372411974
Adenta,880,5.802452855070553
Tema Metropolitan,783,5.162864301727549
Accra Metropolitan,737,4.859554266121588
Ashaley Botwe,604,3.9825926414347883
Airport Residential Area,603,3.975998945008572
Adjiriganor,569,3.7518132665172095
Oyarifa,512,3.375972570222867
Weija,508,3.349597784518001
Ga West Municipal,457,3.0133192667809574
Cantonments,432,2.848476856125544
Achimota,420,2.7693524990109455
Dome,341,2.248450481339839
Kasoa,337,2.222075695634973
Haatso,231,1.52314387445602
West Legon,215,1.4176447316365555
Pokuase,208,1.3714888566530397
Ablekuma,206,1.3583014638006066
Dzorwulu,185,1.2198338388500594
Ga East Municipal,164,1.0813662138995122
Oyibi,150,0.9890544639324805
Dansoman,147,0.9692733746538309
Ashomang Estate,128,0.8439931425557168
Tantra Hills,125,0.8242120532770671
North Legon,118,0.7780561782935513
Nungua,114,0.7516813925886853
Ashaiman Municipal,112,0.7384939997362522
Labone,107,0.7055255176051695
Ga South Municipal,107,0.7055255176051695
Lapaz,96,0.6329948569167876
Labadi,88,0.5802452855070552
Osu,88,0.5802452855070552
Abokobi,82,0.5406831069497561
Madina,79,0.5209020176711064
Gbawe,78,0.5143083212448899
Taifa-Burkina,76,0.5011209283924568
Tesano,74,0.4879335355400237
Abelemkpe,69,0.45496505340894106
Agbogba,64,0.4219965712778584
Ofankor,63,0.41540287485164185
Sowutwuom,53,0.34946591058947646
Ridge,52,0.3428722141632599
Awoshie,50,0.3296848213108268
Burma Camp,44,0.2901226427535276
Roman Ridge,36,0.23737307134379534
Danfa,35,0.2307793749175788
Dworwulu,33,0.2175919820651457
Ledzokuku-Krowor,32,0.2109982856389292
Dodowa,32,0.2109982856389292
Anyaa,32,0.2109982856389292
Amrahia,31,0.20440458921271265
North Industrial Area,29,0.19121719636027956
Ningo-Prampram,28,0.18462349993406305
Greater Accra,24,0.1582487142291969
Kaneshie,23,0.15165501780298035
Santa Maria,18,0.11868653567189767
Kwashieman,17,0.11209283924568113
Old Ashomang,17,0.11209283924568113
McCarthy Hill,15,0.09890544639324805
Kotobabi,13,0.08571805354081498
Odorkor,12,0.07912435711459845
Mamprobi,10,0.06593696426216537
Darkuman,9,0.059343267835948836
South Shiashie,8,0.0527495714097323
Kokomlemle,7,0.04615587498351576
Mataheko,6,0.039562178557299224
Alajo,6,0.039562178557299224
Lartebiokorshie,5,0.03296848213108269
Akweteyman,5,0.03296848213108269
Asylum Down,5,0.03296848213108269
Little Legon,5,0.03296848213108269
Circle,4,0.02637478570486615
Lartebiokoshie,4,0.02637478570486615
Nima,3,0.019781089278649612
Abofu,3,0.019781089278649612
Okponglo,3,0.019781089278649612
Bubuashie,3,0.019781089278649612
Nii Boi Town,3,0.019781089278649612
Adabraka,2,0.013187392852433075
South La,2,0.013187392852433075
Korle Gonno,2,0.013187392852433075
Accra New Town,1,0.006593696426216537
Banana Inn,1,0.006593696426216537
